"","X1","idLV","SG_UF","CD_LOCALIDADE_TSE","NM_LOCALIDADE","NR_ZONA","NR_LOCVOT","NM_LOCVOT","DS_ENDERECO","DS_BAIRRO","NR_CEP","n_locs","street_name","street_number","locality","postal_code","sub_locality","provider","latitude","longitude","dispersion","clusters_count","providers_count","levenshtein_match_street_name"
"18",491,583781511163,"RJ",58378,"ITABORAÍ",151,1163,"ESCOLA MUNICIPAL ALFREDO TORRES","PRAÇA PREFEITO ALFREDO TORRES, S/N","MURIQUI",24846500,2,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"19",495,583781511287,"RJ",58378,"ITABORAÍ",151,1287,"ESCOLA ESTADUAL LUCAS DA SILVA","ESTRADA VEREADO ANTÔNIO CICERO, S/N","CABUÇU",24851612,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"20",496,583781511295,"RJ",58378,"ITABORAÍ",151,1295,"ESCOLA MUNICIPALIZADA ÂNGELO BURICHE COUTINHO","RUA OLHOS D'AGUA S/N","CURUZU",24851000,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"21",497,583781511317,"RJ",58378,"ITABORAÍ",151,1317,"ESCOLA ESTADUAL FRANCESCA CAREY","PRAÇA NUNO DUARTE, S/N","SÃO JOSÉ",24852642,2,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"22",531,583941051210,"RJ",58394,"ITAGUAÍ",105,1210,"ESCOLA MUNICIPAL PROFESSORA MARIA GUILHERMINA DE SOUZA FREIRE","ESTR. ENG. IVAN MUNDIM, S/N, LT. 09 A 12, QD. 20, CHÁCARA BRISAMAR","LEANDRO",23820000,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"23",536,583941051554,"RJ",58394,"ITAGUAÍ",105,1554,"ESCOLA MUNICIPAL ALEXANDRE IGNÁCIO","ESTRADA DO CAÇADOR S/N","IBITUPORANGA",23835090,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"24",542,583941051708,"RJ",58394,"ITAGUAÍ",105,1708,"ESCOLA ESTADUAL MUNICIPALIZADA TACIANO BASILIO","ESTRADA BOM JARDIM 953","SACO DA PRATA",23835700,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"25",543,583941051724,"RJ",58394,"ITAGUAÍ",105,1724,"CIEP 498 - IRMÃ DULCE","RUA PASTOR ANTONIO ANTUNES DA ROCHA, SN, GLEBA A","CHAPERÓ",23830060,14,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"26",556,584242251058,"RJ",58424,"SEROPÉDICA",225,1058,"ESCOLA ALICE DE SOUZA BRUNO","RUA OSVALDO DANTAS MARTINS - 2682 7937","SAO MIGUEL",23893730,7,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"27",568,584671501015,"RJ",58467,"MESQUITA",150,1015,"COLEGIO MACHADO DE ASSIS","AV. UNIAO 543","SANTA TEREZINHA",26245250,7,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"28",569,584671501023,"RJ",58467,"MESQUITA",150,1023,"COMUNIDADE SAO MARCOS","AV. MANOEL DUARTE 383","CENTRO",26240300,5,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"29",570,584671501058,"RJ",58467,"MESQUITA",150,1058,"COMUNIDADE SAO MATEUS","TRAVESSA DA SERRA 12","SANTA TEREZINHA",26245210,4,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"30",571,584671501074,"RJ",58467,"MESQUITA",150,1074,"CIEP POETA MARIO QUINTANA","RUA INACIO SERRA S/N","CHATUBA",26587590,10,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"31",573,584671501112,"RJ",58467,"MESQUITA",150,1112,"CENTRO EDUCACIONAL NAZARENO (CENAZA)","RUA PREF JOSE MONTES PAIXAO 1733","CENTRO",26553160,5,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"32",574,584671501147,"RJ",58467,"MESQUITA",150,1147,"GRUPO ESCOLAR DOM PEDRO I","AV. MANOEL DUARTE 1253","SANTA TEREZINHA",26245510,16,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"33",575,584671501155,"RJ",58467,"MESQUITA",150,1155,"IGREJA DO NAZARENO","AV. UNIAO 1400","CENTRO",26245250,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"34",576,584671501163,"RJ",58467,"MESQUITA",150,1163,"GINASIO VOCACIONAL PRESIDENTE CASTELO BRANCO","PRACA PORTO ALEGRE S/N","PRESIDENTE JUSCELINO",26250520,11,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"35",577,584671501171,"RJ",58467,"MESQUITA",150,1171,"ESCOLA MUNICIPAL ROTARIANO ARTHUR SILVA","RUA PARANA 443","CENTRO",26240010,13,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"36",578,584671501198,"RJ",58467,"MESQUITA",150,1198,"ESCOLA MUNICIPAL ROBERTO SILVEIRA","PRAÇA DA REVOLUÇÃO SN","EDSON PASSOS",26584150,10,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"37",579,584671501201,"RJ",58467,"MESQUITA",150,1201,"COLEGIO MANOEL REIS","RUA EMILIO GUADAGNI 698","EDSON PASSOS",26240160,9,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"38",580,584671501210,"RJ",58467,"MESQUITA",150,1210,"COLEGIO ESTADUAL PIERRE PLANCHER","RUA ABEL DE ALVARENGA S/N","CHATUBA",26585000,9,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"39",581,584671501228,"RJ",58467,"MESQUITA",150,1228,"CENTRO EDUCACIONAL ARTE E VIDA","RUA BARÃO DE SALUSSE, 1845","CENTRO",26553210,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"40",582,584671501236,"RJ",58467,"MESQUITA",150,1236,"ESCOLA MUNICIPAL ELI BAHIENSE VAILANTE","AVENIDA SAO PAULO 142","CENTRO",25908775,8,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"41",583,584671501244,"RJ",58467,"MESQUITA",150,1244,"ESCOLA MUNICIPAL MARIA DOLORES","RUA MAGNO DE CARVALHO 2212","CHATUBA",26245160,10,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"42",584,584671501260,"RJ",58467,"MESQUITA",150,1260,"PRIMEIRA IGREJA BATISTA DE MESQUITA","RUA PARANA 224","CENTRO",26240090,5,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"43",585,584671501279,"RJ",58467,"MESQUITA",150,1279,"COLEGIO ESTADUAL ANA NERI","RUA AUGUSTO CARDOSO 193","COREIA",26251000,11,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"44",586,584671501287,"RJ",58467,"MESQUITA",150,1287,"IGREJA NOSSA SENHORA DAS GRACAS","RUA PARANA 175","CENTRO",26250090,7,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"45",587,584671501295,"RJ",58467,"MESQUITA",150,1295,"PAROQUIA NOSSA SENHORA DE FATIMA","AV CASTELO BRANCO 322","EDSON PASSOS",26240460,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"46",588,584671501309,"RJ",58467,"MESQUITA",150,1309,"CENTRO EDUCACIONAL CUNHA TRINDADE","RUA DR MANOEL PEREIRA REIS 196","EDSON PASSOS",26587590,5,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"47",589,584671501317,"RJ",58467,"MESQUITA",150,1317,"TENIS CLUBE DE MESQUITA","AVENIDA UNIAO, S/N","CENTRO",26245205,11,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"48",590,584671501341,"RJ",58467,"MESQUITA",150,1341,"ESCOLA MUNICIPAL PROFESSOR MARCOS GIL","ESTRADA FELICIANO SODRÉ NR 2315","CENTRO",26553000,9,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"49",591,584671501376,"RJ",58467,"MESQUITA",150,1376,"ESCOLA MUNICIPAL ERNESTO CHE GUEVARA","RUA LIDIA 646","CHATUBA",26587000,10,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"50",592,584671501384,"RJ",58467,"MESQUITA",150,1384,"IGREJA METODISTA","RUA PAULO MACEDO 212","EDSON PASSOS",26500000,5,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"51",593,584671501392,"RJ",58467,"MESQUITA",150,1392,"ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL PEDRINHO","AV MANUEL DUARTE 1215","SANTA TEREZINHA",26554161,2,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"52",594,58467831015,"RJ",58467,"MESQUITA",83,1015,"ESCOLA MUNICIPAL SAMUEL DE SOUZA MACIEL","RUA LIBANIA II 86","PARQUE SENADOR",26551130,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"53",595,58467831023,"RJ",58467,"MESQUITA",83,1023,"COLÉGIO ESTADUAL BRASIL","RUA PAULO S/N","VILA EMIL",26551240,15,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"54",596,58467831031,"RJ",58467,"MESQUITA",83,1031,"CIEP SÃO FRANCISCO DE ASSIS","RUA TREZE DE MAIO S/N","ROCHA SOBRINHO",26574650,8,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"55",597,58467831040,"RJ",58467,"MESQUITA",83,1040,"ESCOLA MUNICIPAL DEOCLÉCIO DIAS MACHADO FILHO","RUA CARLOS FRAHIA 101","COSMORAMA",26582290,15,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"56",598,58467831074,"RJ",58467,"MESQUITA",83,1074,"ESCOLA MUNICIPAL AMERICO SANTOS","RUA VOLTAIRE 75","BANCO DE AREIA",26570060,12,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"57",599,58467831082,"RJ",58467,"MESQUITA",83,1082,"CIEP 111- GELSON FREITAS","RUA RICARDO S/N","SANTO ELIAS",26560551,22,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"58",600,58467831090,"RJ",58467,"MESQUITA",83,1090,"ESCOLA ESTADUAL MUNICIPALIZADA SANTOS DUMONT","RUA CESÁRIO 276","BANCO DE AREIA",26562420,8,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"59",601,58467831112,"RJ",58467,"MESQUITA",83,1112,"CIEP 364-NELSON RAMOS","RUA PAULO S/N","VILA EMIL",26551240,18,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"60",602,58467831120,"RJ",58467,"MESQUITA",83,1120,"ESCOLA MUNICIPAL PRESIDENTE CASTELO BRANCO","AVENIDA PRESIDENTE KENNEDY S/N","ROCHA SOBRINHO",26574640,8,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"61",603,58467831139,"RJ",58467,"MESQUITA",83,1139,"CENTRO COMUNITÁRIO PADRE DANIEL LEUUW","RUA PADRE DANIEL 38","VILA EMIL",26235190,5,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"62",604,58467831147,"RJ",58467,"MESQUITA",83,1147,"IGREJA NOSSA SENHORA DE FÁTIMA","AVENIDA GOVERNADOR CELSO PEÇANHA 1275","BANCO DE AREIA",26570000,5,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"63",605,58467831171,"RJ",58467,"MESQUITA",83,1171,"COLÉGIO INFANTIL GENTE GRANDE","RUA HERCÍLIA 906","VILA EMIL",26580130,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"64",606,58467831180,"RJ",58467,"MESQUITA",83,1180,"GRUPO ESCOLAR VILA BELA","RUA TIBIRIÇA 285","BANCO DE AREIA",26574760,15,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"65",607,58467831198,"RJ",58467,"MESQUITA",83,1198,"COLÉGIO SENHORA APARECIDA","RUA PROFESSOR JOÃO RIBEIRO FILHO 79","BANCO DE AREIA",26570160,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"66",608,58467831201,"RJ",58467,"MESQUITA",83,1201,"COMUNIDADE SÃO SEBASTIÃO","RUA CAPITÃO TELES 192","CENTRO",26551190,2,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"67",609,58467831228,"RJ",58467,"MESQUITA",83,1228,"ESCOLA MUNICIPAL MARIA ISABEL, FUTURA CRUZEIRO DO SUL","RUA ELPÍDIO, 132","CENTRO",26551061,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"68",610,58467831252,"RJ",58467,"MESQUITA",83,1252,"CIEP PADRE NINO MIRALDI","RUA GUARANI S/N","JACUTINGA",26564040,4,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"69",611,58467831287,"RJ",58467,"MESQUITA",83,1287,"ASSEMBLÉIA DE DEUS DE COSMORAMA","RUA COSMORAMA 2100","COSMORAMA",26582020,4,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"70",612,58467831309,"RJ",58467,"MESQUITA",83,1309,"ESCOLA MUNICIPAL EXPEDITO MIGUEL","RUA HERCÍLIA 1062","VILA EMIL",26551041,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"71",614,58467831333,"RJ",58467,"MESQUITA",83,1333,"COLEGIO GERAÇÃO FELIZ","RUA ZOÉ, 81 E 86","PRESIDENTE JUSCELINO",26550130,4,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"72",615,58467831341,"RJ",58467,"MESQUITA",83,1341,"COMUNIDADE SAO NICOLAU","RUA COSMORAMA, 736","COSMORAMA",26582020,5,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"73",616,58467831350,"RJ",58467,"MESQUITA",83,1350,"IGREJA BATISTA BETEL DE MESQUITA","RUA EGÍDIO, 979","CENTRO",26551070,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"74",617,58467831368,"RJ",58467,"MESQUITA",83,1368,"IGREJA PRESBITERIANA DO BAIRRO SANTO ELIAS","RUA SOTERO , NR. 267 - SANTO ELIAS","SANTO ELIAS",26560480,1,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"75",628,584911101490,"RJ",58491,"MAGÉ",110,1490,"ESCOLA MUNICIPAL DR. MARIO PINHEIRO","AVENIDA DO CONTORNO","SANTA DALILA",25925000,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"76",641,584911102470,"RJ",58491,"MAGÉ",110,2470,"ESCOLA MUNICIPAL BARÃO DO IRIRI","RUA URUCUMIRIM LT 25 QD E","BARÃO DO IRIRI",25900000,2,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"77",642,584911102585,"RJ",58491,"MAGÉ",110,2585,"ESCOLA MUNICIPAL HORACIO SILVA MELLO FILHO","PARQUE RECREIO D. PEDRO II S/N","LEQUE AZUL",25900000,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"78",657,584911102909,"RJ",58491,"MAGÉ",110,2909,"ESCOLA MUNICIPAL FRANCISCO RONDINELLI","RUA ITAMBI, S/N","JARDIM ESMERALDA",25900000,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"79",662,584911103000,"RJ",58491,"MAGÉ",110,3000,"ESCOLA MUNICIPAL RUTH TALDO FRANÇA","AV. OTHON LINZ BEZERRA DE MELLO, S/N","SANTO ALEIXO",25920000,5,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"80",681,584911481414,"RJ",58491,"MAGÉ",148,1414,"ESCOLA MUNICIPAL ELZA TEIXEIRA DE PAIVA","RUA MARIA CRISTINA BURACO DA ONCA S/N","JARDIM SAO PAULO",25935812,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"81",686,584911481570,"RJ",58491,"MAGÉ",148,1570,"ESCOLA MUNICIPAL RENATA FRANCO (PERGENTINA COZZOLINO)","RUA C S/N LOTEAMENTO PARAGUAI","FRAGOSO",25931778,12,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"82",706,58530551228,"RJ",58530,"MARICÁ",55,1228,"ESCOLA MUNICIPAL BRASILINA COUTINHO","ESTRADA  COMANDANTE CELSO (DO LAGARTO ) S/N","LAGARTO",24900000,2,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"83",712,58530551309,"RJ",58530,"MARICÁ",55,1309,"ESCOLA MUNICIPAL JOAO MONTEIRO","RECANTO DE ITAIPUAÇU RUA 7 S/N","RECANTO DE ITAIPUAÇU",24900000,12,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"84",715,58530551368,"RJ",58530,"MARICÁ",55,1368,"CIEP 391 - PROFESSOR ROBSON MENDONÇA LOU","RUA LEITO DA ESTRADA DE FERRO N 05","INOÃ",24910000,11,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"85",912,58653721368,"RJ",58653,"NITERÓI",72,1368,"ESCOLA MUNICIPAL VILA COSTA MONTEIRO","RUA ITITIOCA S/N","ITITIOCA",24310410,11,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"86",1036,586962501104,"RJ",58696,"NOVA IGUAÇU",250,1104,"COLEGIO SOUZA DUARTE","RUA CELESTE ALVES DE SOUZA, 41","AUSTIN",26087380,11,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"87",1088,58696671465,"RJ",58696,"NOVA IGUAÇU",67,1465,"BANCO BRADESCO","ESTRADA DEPUTADO DARCILIO AYRES RAUNHEITTI, 786","MIGUEL COUTO",26023310,4,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"88",1209,589711331252,"RJ",58971,"SÃO GONÇALO",133,1252,"ESCOLA ESTADUAL ELISA MARIA DUTRA","ESTRADA DO SACRAMENTO, 475","SACRAMENTO",24735075,11,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"89",1212,589711341015,"RJ",58971,"SÃO GONÇALO",134,1015,"EDUCACIONAL EQUIPE 1","CONJUNTO RESIDENCIAL ALCANTARA II S/N","ALCÂNTARA",24400000,8,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"90",1232,589711351104,"RJ",58971,"SÃO GONÇALO",135,1104,"ESCOLA MUNICIPAL ALMIRANTE ALFREDO CARLOS SOARES DUTRA","RUA CAPITAO JUSTINIANO PEREIRA DE FARIA S/N","ALCÂNTARA",24737430,13,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"91",1361,590131861104,"RJ",59013,"SÃO JOÃO DE MERITI",186,1104,"COLEGIO MEU FUTURO","AV. CASTRO ALVES 33","PARQUE ARARUAMA",25585770,12,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"92",1377,590131861503,"RJ",59013,"SÃO JOÃO DE MERITI",186,1503,"JARDIM ESCOLA TIA DÓRIS","RUA NOVE 168A","TRESENTOS",25580610,7,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"93",1401,590131871341,"RJ",59013,"SÃO JOÃO DE MERITI",187,1341,"CENTRO EDUCACIONAL PAULO APOSTOLO","RUA FRANCISCO LIMA E SILVA (ANTIGA R. RECIFE), LOTE 31, QUADRA 46","JARDIM METRÓPOLE",11111111,4,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"94",1416,59013881198,"RJ",59013,"SÃO JOÃO DE MERITI",88,1198,"ESCOLA MUNICIPAL PAUL JEAN GUERRY","RUA MULLER CAMPOS","TOMAZINHO",25530040,10,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"95",1435,59013881520,"RJ",59013,"SÃO JOÃO DE MERITI",88,1520,"ESCOLA ESTADUAL PROFESSOR MAURICIO BRUM","RUA APOLO 3345","EDEN",25535000,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"96",1665,600111251236,"RJ",60011,"RIO DE JANEIRO",125,1236,"ESPAÇO DE DESENVOLVIMENTO INFANTIL PROF ROSA MARIA ALVES DE OLIVEIRA","RUA ALVARO ARAUJO SALAZAR S/N - CONJ. JOAO XXIII","SANTA CRUZ",23565000,7,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"97",1732,600111611244,"RJ",60011,"RIO DE JANEIRO",161,1244,"ESCOLA MUNICIPAL PROF. PAULO FREIRE","AV. CANAL, VIA B 1, S/N, VILA DO PINHEIRO","BONSUCESSO",21040361,9,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"98",1814,600111671090,"RJ",60011,"RIO DE JANEIRO",167,1090,"ESCOLA MUNICIPAL GRANDJEAN DE MONTIGNY","PRACA DOS UCRANIANOS S/N","PAVUNA",21650480,7,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"99",2633,600112351040,"RJ",60011,"RIO DE JANEIRO",235,1040,"ESCOLA MUNICIPAL ARACY MUNIZ FREIRE","PRAÇA DR. JOSÉ PONTES, S/N","MAGALHÃES BASTOS",21750060,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"100",2780,600112461040,"RJ",60011,"RIO DE JANEIRO",246,1040,"ESCOLA MUNICIPAL ESPANHA","PRAÇA TARUMIRIM, SN","PACIENCIA",23580120,7,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"101",2784,600112461090,"RJ",60011,"RIO DE JANEIRO",246,1090,"ESCOLA MUNICIPAL GANDHI","RUA MARIA DAS GRAÇAS DA SILVA (ANTIGA RUA 15), SN - CONJ. MANGUARIBA","PACIENCIA",23065150,8,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
